"","waveform","serial","offset","time.sec","voltage.mv","date.time"
"1",-622,"RLA496825S",1.227,1.227,-0.50693,2020-01-22 05:05:00
"2",-422,"RLA496825S",1.227,1.2348125,-0.34393,2020-01-22 05:05:00
"3",-466,"RLA496825S",1.227,1.242625,-0.37979,2020-01-22 05:05:00
"4",-518,"RLA496825S",1.227,1.2504375,-0.42217,2020-01-22 05:05:00
"5",-513,"RLA496825S",1.227,1.25825,-0.418095,2020-01-22 05:05:00
"6",-488,"RLA496825S",1.227,1.2660625,-0.39772,2020-01-22 05:05:00
"7",-510,"RLA496825S",1.227,1.273875,-0.41565,2020-01-22 05:05:00
"8",-485,"RLA496825S",1.227,1.2816875,-0.395275,2020-01-22 05:05:00
"9",-505,"RLA496825S",1.227,1.2895,-0.411575,2020-01-22 05:05:00
"10",-500,"RLA496825S",1.227,1.2973125,-0.4075,2020-01-22 05:05:00
"11",-459,"RLA496825S",1.227,1.305125,-0.374085,2020-01-22 05:05:00
"12",-502,"RLA496825S",1.227,1.3129375,-0.40913,2020-01-22 05:05:00
"13",-516,"RLA496825S",1.227,1.32075,-0.42054,2020-01-22 05:05:00
"14",-503,"RLA496825S",1.227,1.3285625,-0.409945,2020-01-22 05:05:00
"15",-498,"RLA496825S",1.227,1.336375,-0.40587,2020-01-22 05:05:00
"16",-493,"RLA496825S",1.227,1.3441875,-0.401795,2020-01-22 05:05:00
"17",-515,"RLA496825S",1.227,1.352,-0.419725,2020-01-22 05:05:00
"18",-527,"RLA496825S",1.227,1.3598125,-0.429505,2020-01-22 05:05:00
"19",-537,"RLA496825S",1.227,1.367625,-0.437655,2020-01-22 05:05:00
"20",-578,"RLA496825S",1.227,1.3754375,-0.47107,2020-01-22 05:05:00
"21",-625,"RLA496825S",1.227,1.38325,-0.509375,2020-01-22 05:05:00
"22",-628,"RLA496825S",1.227,1.3910625,-0.51182,2020-01-22 05:05:00
"23",-562,"RLA496825S",1.227,1.398875,-0.45803,2020-01-22 05:05:00
"24",-493,"RLA496825S",1.227,1.4066875,-0.401795,2020-01-22 05:05:00
"25",-492,"RLA496825S",1.227,1.4145,-0.40098,2020-01-22 05:05:00
"26",-479,"RLA496825S",1.227,1.4223125,-0.390385,2020-01-22 05:05:00
"27",-473,"RLA496825S",1.227,1.430125,-0.385495,2020-01-22 05:05:00
"28",-475,"RLA496825S",1.227,1.4379375,-0.387125,2020-01-22 05:05:00
"29",-470,"RLA496825S",1.227,1.44575,-0.38305,2020-01-22 05:05:00
"30",-473,"RLA496825S",1.227,1.4535625,-0.385495,2020-01-22 05:05:00
"31",-480,"RLA496825S",1.227,1.461375,-0.3912,2020-01-22 05:05:00
"32",-480,"RLA496825S",1.227,1.4691875,-0.3912,2020-01-22 05:05:00
"33",-480,"RLA496825S",1.227,1.477,-0.3912,2020-01-22 05:05:00
"34",-476,"RLA496825S",1.227,1.4848125,-0.38794,2020-01-22 05:05:00
"35",-474,"RLA496825S",1.227,1.492625,-0.38631,2020-01-22 05:05:00
"36",-474,"RLA496825S",1.227,1.5004375,-0.38631,2020-01-22 05:05:00
"37",-474,"RLA496825S",1.227,1.50825,-0.38631,2020-01-22 05:05:00
"38",-472,"RLA496825S",1.227,1.5160625,-0.38468,2020-01-22 05:05:00
"39",-469,"RLA496825S",1.227,1.523875,-0.382235,2020-01-22 05:05:00
"40",-473,"RLA496825S",1.227,1.5316875,-0.385495,2020-01-22 05:05:00
"41",-475,"RLA496825S",1.227,1.5395,-0.387125,2020-01-22 05:05:00
"42",-475,"RLA496825S",1.227,1.5473125,-0.387125,2020-01-22 05:05:00
"43",-475,"RLA496825S",1.227,1.555125,-0.387125,2020-01-22 05:05:00
"44",-480,"RLA496825S",1.227,1.5629375,-0.3912,2020-01-22 05:05:00
"45",-486,"RLA496825S",1.227,1.57075,-0.39609,2020-01-22 05:05:00
"46",-484,"RLA496825S",1.227,1.5785625,-0.39446,2020-01-22 05:05:00
"47",-483,"RLA496825S",1.227,1.586375,-0.393645,2020-01-22 05:05:00
"48",-486,"RLA496825S",1.227,1.5941875,-0.39609,2020-01-22 05:05:00
"49",-484,"RLA496825S",1.227,1.602,-0.39446,2020-01-22 05:05:00
"50",-487,"RLA496825S",1.227,1.6098125,-0.396905,2020-01-22 05:05:00
"51",-489,"RLA496825S",1.227,1.617625,-0.398535,2020-01-22 05:05:00
"52",-488,"RLA496825S",1.227,1.6254375,-0.39772,2020-01-22 05:05:00
"53",-490,"RLA496825S",1.227,1.63325,-0.39935,2020-01-22 05:05:00
"54",-491,"RLA496825S",1.227,1.6410625,-0.400165,2020-01-22 05:05:00
"55",-491,"RLA496825S",1.227,1.648875,-0.400165,2020-01-22 05:05:00
"56",-489,"RLA496825S",1.227,1.6566875,-0.398535,2020-01-22 05:05:00
"57",-489,"RLA496825S",1.227,1.6645,-0.398535,2020-01-22 05:05:00
"58",-490,"RLA496825S",1.227,1.6723125,-0.39935,2020-01-22 05:05:00
"59",-490,"RLA496825S",1.227,1.680125,-0.39935,2020-01-22 05:05:00
"60",-488,"RLA496825S",1.227,1.6879375,-0.39772,2020-01-22 05:05:00
"61",-490,"RLA496825S",1.227,1.69575,-0.39935,2020-01-22 05:05:00
"62",-492,"RLA496825S",1.227,1.7035625,-0.40098,2020-01-22 05:05:00
"63",-490,"RLA496825S",1.227,1.711375,-0.39935,2020-01-22 05:05:00
"64",-490,"RLA496825S",1.227,1.7191875,-0.39935,2020-01-22 05:05:00
"65",-493,"RLA496825S",1.227,1.727,-0.401795,2020-01-22 05:05:00
"66",-494,"RLA496825S",1.227,1.7348125,-0.40261,2020-01-22 05:05:00
"67",-493,"RLA496825S",1.227,1.742625,-0.401795,2020-01-22 05:05:00
"68",-492,"RLA496825S",1.227,1.7504375,-0.40098,2020-01-22 05:05:00
"69",-491,"RLA496825S",1.227,1.75825,-0.400165,2020-01-22 05:05:00
"70",-492,"RLA496825S",1.227,1.7660625,-0.40098,2020-01-22 05:05:00
"71",-494,"RLA496825S",1.227,1.773875,-0.40261,2020-01-22 05:05:00
"72",-494,"RLA496825S",1.227,1.7816875,-0.40261,2020-01-22 05:05:00
"73",-492,"RLA496825S",1.227,1.7895,-0.40098,2020-01-22 05:05:00
"74",-492,"RLA496825S",1.227,1.7973125,-0.40098,2020-01-22 05:05:00
"75",-494,"RLA496825S",1.227,1.805125,-0.40261,2020-01-22 05:05:00
"76",-494,"RLA496825S",1.227,1.8129375,-0.40261,2020-01-22 05:05:00
